modeild,weblabel,brand,catchline,productnature,family,Review-AverageRating,DisplayPrice-Amount,ListPrice-Amount
1091517,REVESTIMIENTO PALA DE PING-PONG YASAKA MARK V GPS,YASAKA,El revestimiento de ping pong Mark V GPS tiene una espuma intermedia y proporciona un juego de ataque en rotación. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.0,24.99,34.99
1091517,REVESTIMIENTO PALA DE PING-PONG YASAKA MARK V GPS,YASAKA,El revestimiento de ping pong Mark V GPS tiene una espuma intermedia y proporciona un juego de ataque en rotación. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.0,24.99,34.99
1091517,REVESTIMIENTO PALA DE PING-PONG YASAKA MARK V GPS,YASAKA,El revestimiento de ping pong Mark V GPS tiene una espuma intermedia y proporciona un juego de ataque en rotación. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.0,24.99,34.99
1091517,REVESTIMIENTO PALA DE PING-PONG YASAKA MARK V GPS,YASAKA,El revestimiento de ping pong Mark V GPS tiene una espuma intermedia y proporciona un juego de ataque en rotación. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.0,24.99,34.99
1091517,REVESTIMIENTO PALA DE PING-PONG YASAKA MARK V GPS,YASAKA,El revestimiento de ping pong Mark V GPS tiene una espuma intermedia y proporciona un juego de ataque en rotación. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.0,24.99,34.99
8013950,OVERGRIP DE TENIS HEAD XTREM SOFT NEGRO LOTE DE 12,HEAD,El adhesivo del overgrip Head XTREME SOFT asegura un grip perfecto. Este material elastomérico muy adherente con perforaciones extragrandes proporciona una extraordinaria adherencia.,GRIPS,ACCESORIOS RAQUETA TENIS,3.67,11.99,14.99
8013951,PLOMO DE TENIS ARTENGO OVERLEAD GRIS OSCURO,ARTENGO,Puedes colocar este plomo en cualquier lugar para añadir peso o modificar el equilibrio de la raqueta de tenis.,Plomo,ACCESORIOS RAQUETA TENIS,4.6,7.99,7.99
8090254,REVESTIMIENTO PALA DE PING-PONG PRYDE 30°,YASAKA,"Revestimiento Pryde 30°, provisto de una espuma muy blanda con una adherencia superior para favorecer el juego corto y los saques con mucho efecto. Muy dinámico a media distancia.",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,39.99,39.99
8090254,REVESTIMIENTO PALA DE PING-PONG PRYDE 30°,YASAKA,"Revestimiento Pryde 30°, provisto de una espuma muy blanda con una adherencia superior para favorecer el juego corto y los saques con mucho efecto. Muy dinámico a media distancia.",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,39.99,39.99
8090254,REVESTIMIENTO PALA DE PING-PONG PRYDE 30°,YASAKA,"Revestimiento Pryde 30°, provisto de una espuma muy blanda con una adherencia superior para favorecer el juego corto y los saques con mucho efecto. Muy dinámico a media distancia.",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,39.99,39.99
8090254,REVESTIMIENTO PALA DE PING-PONG PRYDE 30°,YASAKA,"Revestimiento Pryde 30°, provisto de una espuma muy blanda con una adherencia superior para favorecer el juego corto y los saques con mucho efecto. Muy dinámico a media distancia.",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,39.99,39.99
8090254,REVESTIMIENTO PALA DE PING-PONG PRYDE 30°,YASAKA,"Revestimiento Pryde 30°, provisto de una espuma muy blanda con una adherencia superior para favorecer el juego corto y los saques con mucho efecto. Muy dinámico a media distancia.",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,39.99,39.99
8093200,RED DE PÁDEL BLANCO NEGRO ,ARTENGO,Esta red con mallas reforzadas ofrece una excelente resistencia la desgaste. ,Padel net,PADEL CLUB,5.0,64.99,64.99
8110168,CORDAJE DE BÁDMINTON BG 80 BLANCO,YONEX,Cordaje fino ideal para mejorar la restitución de la velocidad del volante. ¡Utilizado por los mejores franceses!,Cordaje raqueta,CORDAJES BÁDMINTON,4.8,9.99,9.99
8111549,"CORDAJE DE TENIS BABOLAT MONOFILAMENTO PRO HURRICANE TOUR 1,25 mm",BABOLAT,"El cordaje monofilamento de tenis Babolat Pro Hurricane Tour 1,25 mm se adapta perfectamente a los jugadores que buscan durabilidad.",Cordaje raqueta,CORDAJES TENIS,4.0,12.49,12.49
8111551,"Bobina Cordaje Tenis Luxilon Alu Power Gris 1,25 mm 200 m",LUXILON,"Este cordaje de tenis monofilamento Luxilon Alu Power de 1,25 mm es el cordaje más utilizado por los expertos gracias a su potencia y control de alta gama.",Cordaje raqueta,CORDAJES TENIS,5.0,239.99,239.99
8112813,PELOTAS DE TENIS TB530 *3 AMARILLO,ARTENGO,¡Pelota de competición a bajo precio!Nuevo empaquetado y nuevo logotipo pero pelotas idénticas.,Pelota de tenis,PELOTAS TENIS,4.5,3.99,3.99
8112814,PELOTAS DE TENIS ARTENGO TB 920 x3 AMARILLO POLIVALENTE,ARTENGO,"Durabilidad y control. Pelota oficial del torneo de la ATP 250 Moselle Open, la TB920 se recomienda por su calidad de rebote y por su control.Nuevo empaquetado y nuevo logotipo pero pelotas idénticas.",Pelota de tenis,PELOTAS TENIS,4.4,4.29,4.29
8042500,REVESTIMIENTO PALA DE PING PONG ENERGY X-TRA,JOOLA,"La espuma del revestimiento de ping pong Energy X-tra es muy blanda, lo que le proporciona un excelente toque y un sonido muy particular. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.5,32.99,32.99
8042500,REVESTIMIENTO PALA DE PING PONG ENERGY X-TRA,JOOLA,"La espuma del revestimiento de ping pong Energy X-tra es muy blanda, lo que le proporciona un excelente toque y un sonido muy particular. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.5,32.99,32.99
8090254,REVESTIMIENTO PALA DE PING-PONG PRYDE 30°,YASAKA,"Revestimiento Pryde 30°, provisto de una espuma muy blanda con una adherencia superior para favorecer el juego corto y los saques con mucho efecto. Muy dinámico a media distancia.",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,44.99,44.99
8113695,REVESTIMIENTO PALA DE PING-PONG ARTENGO FR 920 SPEED,ARTENGO,"El revestimiento Artengo 920 S está dotado de una goma blanda que restituye la energía y de un caucho adherente. Esto le confiere velocidad, toque y un excelente control. Pruébalo sin temor.",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.5,19.99,22.99
8113695,REVESTIMIENTO PALA DE PING-PONG ARTENGO FR 920 SPEED,ARTENGO,"El revestimiento Artengo 920 S está dotado de una goma blanda que restituye la energía y de un caucho adherente. Esto le confiere velocidad, toque y un excelente control. Pruébalo sin temor.",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.5,19.99,22.99
8113695,REVESTIMIENTO PALA DE PING-PONG ARTENGO FR 920 SPEED,ARTENGO,"El revestimiento Artengo 920 S está dotado de una goma blanda que restituye la energía y de un caucho adherente. Esto le confiere velocidad, toque y un excelente control. Pruébalo sin temor.",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.5,19.99,22.99
8113695,REVESTIMIENTO PALA DE PING-PONG ARTENGO FR 920 SPEED,ARTENGO,"El revestimiento Artengo 920 S está dotado de una goma blanda que restituye la energía y de un caucho adherente. Esto le confiere velocidad, toque y un excelente control. Pruébalo sin temor.",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.5,19.99,22.99
8113744,REVESTIMIENTO DE PING-PONG SINUS SOUND ,TIBHAR,"El revestimiento Sinus sound dispone de una espuma blanda, un sonido muy pronunciado y permite mucha rotación. La trayectoria de la pelota es muy corta, para un revestimiento realmente tolerante. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,9.99,26.99
8113744,REVESTIMIENTO DE PING-PONG SINUS SOUND ,TIBHAR,"El revestimiento Sinus sound dispone de una espuma blanda, un sonido muy pronunciado y permite mucha rotación. La trayectoria de la pelota es muy corta, para un revestimiento realmente tolerante. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,9.99,26.99
8113744,REVESTIMIENTO DE PING-PONG SINUS SOUND ,TIBHAR,"El revestimiento Sinus sound dispone de una espuma blanda, un sonido muy pronunciado y permite mucha rotación. La trayectoria de la pelota es muy corta, para un revestimiento realmente tolerante. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,9.99,26.99
8113744,REVESTIMIENTO DE PING-PONG SINUS SOUND ,TIBHAR,"El revestimiento Sinus sound dispone de una espuma blanda, un sonido muy pronunciado y permite mucha rotación. La trayectoria de la pelota es muy corta, para un revestimiento realmente tolerante. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,9.99,26.99
8132076,"CORDAJE DE TENIS MONOFILAMENTO BLACK CODE 1,24 mm NEGRO",NO BRAND,"Este cordaje de tenis monofilamento Tecnifibre Black code de 1,24 mm, con estructura pentagonal, proporciona toma de efectos y potencia.",Cordaje raqueta,CORDAJES TENIS,4.5,12.99,12.99
8155087,PELOTA DE TENIS ARTENGO JUMBO BALL,ARTENGO,La iniciación al tenis de los más pequeños. ,Pelota de tenis,PELOTAS TENIS,4.7,11.99,11.99
8156944,VOLANTES DE BÁDMINTON YONEX MAVIS 300 X6 AMARILLO PLÁSTICO,YONEX,"Resistencia, confort y visibilidad. ",Volante de plástico,Volantes Badminton,4.6,9.99,9.99
8157212,"CORDAJE DE TENIS BABOLAT MONOFILAMENTO RPM BLAST 1,25 mm NEGRO",BABOLAT,"Este cordaje monofilamento Babolat RPM Blast 1,25 mm proporciona toma de efectos gracias a su sección pentagonal y control.",Cordaje raqueta,CORDAJES TENIS,4.8,16.99,16.99
8014177,REVESTIMIENTO PALA DE PING-PONG NIMBUS ,TIBHAR,"El revestimiento Tibhar Nimbus está provisto de la tecnología SPI, tensión integrada, que le proporciona dinamismo, excelentes sensaciones en rotación y un sonido específico. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.7,24.99,33.99
8014177,REVESTIMIENTO PALA DE PING-PONG NIMBUS ,TIBHAR,"El revestimiento Tibhar Nimbus está provisto de la tecnología SPI, tensión integrada, que le proporciona dinamismo, excelentes sensaciones en rotación y un sonido específico. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.7,24.99,33.99
8014177,REVESTIMIENTO PALA DE PING-PONG NIMBUS ,TIBHAR,"El revestimiento Tibhar Nimbus está provisto de la tecnología SPI, tensión integrada, que le proporciona dinamismo, excelentes sensaciones en rotación y un sonido específico. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.7,24.99,33.99
8014177,REVESTIMIENTO PALA DE PING-PONG NIMBUS ,TIBHAR,"El revestimiento Tibhar Nimbus está provisto de la tecnología SPI, tensión integrada, que le proporciona dinamismo, excelentes sensaciones en rotación y un sonido específico. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.7,24.99,33.99
8160688,Pala ping pong Pongori Carbon pro 5*,JOOLA,"¡Auténticos revestimientos de competición! Esta pala está montada con revestimientos Joola 4-You de 2,0 mm, dotados de una espuma muy blanda para ofrecer mayor control.",Raqueta,RAQUETTES TDT CONFIRMÉ,4.7,39.99,39.99
8161130,Adhesivo revestimiento Stick fast x2,CORNILLEAU,"STICK FAST 2’ está formado por 2 capas autoadherentes para un pegado perfecto sin residuos, sin tiempo de secado y con una conservación perfecta de maderas y revestimientos.No contiene VOC**.",Pegamento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.7,3.99,3.99
8113744,REVESTIMIENTO DE PING-PONG SINUS SOUND ,TIBHAR,"El revestimiento Sinus sound dispone de una espuma blanda, un sonido muy pronunciado y permite mucha rotación. La trayectoria de la pelota es muy corta, para un revestimiento realmente tolerante. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,9.99,26.99
8113744,REVESTIMIENTO DE PING-PONG SINUS SOUND ,TIBHAR,"El revestimiento Sinus sound dispone de una espuma blanda, un sonido muy pronunciado y permite mucha rotación. La trayectoria de la pelota es muy corta, para un revestimiento realmente tolerante. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,9.99,26.99
1097965,RED DE PING PONG PPN 183 cm,PONGORI,"Esta red de ping pong es adecuada para las mesas estándar equipadas con postes de red desplazados, es decir, que sobresalen de la mesa. Es demasiado larga si los postes están pegados a los tableros.",REDES,ROLLNET,4.7,6.99,6.99
8113695,REVESTIMIENTO PALA DE PING-PONG ARTENGO FR 920 SPEED,ARTENGO,"El revestimiento Artengo 920 S está dotado de una goma blanda que restituye la energía y de un caucho adherente. Esto le confiere velocidad, toque y un excelente control. Pruébalo sin temor.",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.5,19.99,22.99
8171177,RED DE RECUPERACIÓN DE PELOTAS DE PING PONG,JOOLA,Esta red y su estructura ligera se instalan en el tablero de la mesa para la recuperación de las pelotas de ping pong durante la utilización de un robot. Muy fácil de instalar. ,Robot,MESAS/ACCESORIOS TDM CLUB,5.0,49.99,49.99
4149884,REVESTIMIENTO PALA DE PING-PONG JOOLA SAMBA,JOOLA,Revestimiento de ping-pong Joola muy famoso por su espuma blanda de 38° para un juego ofensivo de rotación todo en toques de pelota. Muy blando y con un sonido excepcional.,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.7,18.0,18.0
4149884,REVESTIMIENTO PALA DE PING-PONG JOOLA SAMBA,JOOLA,Revestimiento de ping-pong Joola muy famoso por su espuma blanda de 38° para un juego ofensivo de rotación todo en toques de pelota. Muy blando y con un sonido excepcional.,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.7,18.0,18.0
8189047,VOLANTES DE BÁDMINTON YONEX MAVIS 2000 X6 BLANCO PLÁSTICO,YONEX,"Top de gama de los volantes de plástico, trayectoria paracaídas ideal para tener sensaciones muy parecidas a las de los volantes de plumas. ",Volante de plástico,Volantes Badminton,4.6,12.99,12.99
8191649,OVERGRIP DE BÁDMINTON YONEX AC102 BLANCO PACK DE 3,BOYAUDERIE DE L'EST,Este cubregrip YONEX blanco ofrece un agarre muy adherente y el grosor mejora su resistencia al desgaste. ,GRIPS,Accesorios raquetas badminton,5.0,6.99,6.99
8191849,Pala ping pong exterior Cornilleau Nexeo X70,CORNILLEAU,"Pala exterior muy duradera con excelentes prestaciones de juego. Fabricación Francesa ""Origen Francia Garantizado"".",Raqueta,RAQUETAS PING PONG INTERIOR,4.7,22.99,22.99
8194144,REVESTIMIENTO PALA DE PING-PONG TIBHAR GRASS D.TECS,TIBHAR,"El pico largo Grass D Tecs permite practicar una fantástica defensa cortada y, gracias al concepto D Tecs, mantener un buen control frente a pelotas más rápidas. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,0.0,34.99,34.99
8194144,REVESTIMIENTO PALA DE PING-PONG TIBHAR GRASS D.TECS,TIBHAR,"El pico largo Grass D Tecs permite practicar una fantástica defensa cortada y, gracias al concepto D Tecs, mantener un buen control frente a pelotas más rápidas. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,0.0,34.99,34.99
8194399,REVESTIMIENTO PALA DE PING-PONG JOOLA SAMBA+,JOOLA,"Con el Samba +, nos acercamos lo más posible a las características del Samba pegado (sonido, rotación, flexibilidad de la espuma, toque...), pero siempre conforme con la reglamentación actual. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.8,31.99,31.99
8194399,REVESTIMIENTO PALA DE PING-PONG JOOLA SAMBA+,JOOLA,"Con el Samba +, nos acercamos lo más posible a las características del Samba pegado (sonido, rotación, flexibilidad de la espuma, toque...), pero siempre conforme con la reglamentación actual. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.8,31.99,31.99
8194399,REVESTIMIENTO PALA DE PING-PONG JOOLA SAMBA+,JOOLA,"Con el Samba +, nos acercamos lo más posible a las características del Samba pegado (sonido, rotación, flexibilidad de la espuma, toque...), pero siempre conforme con la reglamentación actual. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.8,31.99,31.99
8194399,REVESTIMIENTO PALA DE PING-PONG JOOLA SAMBA+,JOOLA,"Con el Samba +, nos acercamos lo más posible a las características del Samba pegado (sonido, rotación, flexibilidad de la espuma, toque...), pero siempre conforme con la reglamentación actual. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.8,31.99,31.99
8194405,REVESTIMIENTO PALA DE PING PONG AURAS SOUND,TIBHAR,Aurus sound se beneficia del concepto OPTRA para ofrecer una trayectoria optimizada y una colocación segura de la pelota; la espuma blanda aumenta la relación spin/sensación. Un juego lleno de spins. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.5,39.99,39.99
8194405,REVESTIMIENTO PALA DE PING PONG AURAS SOUND,TIBHAR,Aurus sound se beneficia del concepto OPTRA para ofrecer una trayectoria optimizada y una colocación segura de la pelota; la espuma blanda aumenta la relación spin/sensación. Un juego lleno de spins. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.5,39.99,39.99
8194405,REVESTIMIENTO PALA DE PING PONG AURAS SOUND,TIBHAR,Aurus sound se beneficia del concepto OPTRA para ofrecer una trayectoria optimizada y una colocación segura de la pelota; la espuma blanda aumenta la relación spin/sensación. Un juego lleno de spins. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.5,39.99,39.99
8194405,REVESTIMIENTO PALA DE PING PONG AURAS SOUND,TIBHAR,Aurus sound se beneficia del concepto OPTRA para ofrecer una trayectoria optimizada y una colocación segura de la pelota; la espuma blanda aumenta la relación spin/sensación. Un juego lleno de spins. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.5,39.99,39.99
8014177,REVESTIMIENTO PALA DE PING-PONG NIMBUS ,TIBHAR,"El revestimiento Tibhar Nimbus está provisto de la tecnología SPI, tensión integrada, que le proporciona dinamismo, excelentes sensaciones en rotación y un sonido específico. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.7,24.99,33.99
8014177,REVESTIMIENTO PALA DE PING-PONG NIMBUS ,TIBHAR,"El revestimiento Tibhar Nimbus está provisto de la tecnología SPI, tensión integrada, que le proporciona dinamismo, excelentes sensaciones en rotación y un sonido específico. ",Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.7,24.99,33.99
8197518,"BOBINA CORDAJE DE TENIS MONOFILAMENTO PRO HURRICANE TOUR 1,25 mm 200 m",BABOLAT,"Este cordaje monofilamento Babolat Pro Hurricane Tour 1,25 mm es perfectamente adecuado para los jugadores que buscan duración.",Cordaje raqueta,CORDAJES TENIS,5.0,109.99,109.99
8197552,"BOBINA CORDAJE DE TENIS MULTIFILAMENTOS POLIÉSTER DURAMIX 1,35 mm NATURAL 200 m",TECNIFIBRE,"El cordaje de tenis multifilamento de poliéster Tecnifibre Duramix 1,35 mm aporta resistencia gracias al poliéster y comodidad gracias a la tecnología de poliuretano PUHDinside.",Cordaje raqueta,CORDAJES TENIS,0.0,214.99,214.99
8203065,CORDAJE DE BÁDMINTON BG 66 ULTIMAX BLANCO,YONEX,El cordaje YONEX BG 66 ULTIMAX de color blanco tiene un grosor ultra fino para ofrecer máxima potencia y control.,Cordaje raqueta,CORDAJES BÁDMINTON,5.0,9.99,9.99
8210747,PELOTAS DE TENIS HEAD PRO x4 AMARILLO,HEAD,La pelota Head Pro está hecha con una mezcla de caucho única para una buena vivacidad y durabilidad. El fieltro SmartOptik™ garantiza una mejor visibilidad.,Pelota de tenis,PELOTAS TENIS,4.4,5.49,5.49
8210748,PELOTAS DE TENIS TECNIFIBRE X ONE *4 AMARILLO POLIVALENTE,TECNIFIBRE,"Pelota de alta gama de Technifibre, la X-ONE es una pelota viva, rápida y muy duradera. Es la pelota oficial de los torneos de la ATP de Marsella y de Róterdam.",Pelota de tenis,PELOTAS TENIS,4.6,7.99,7.99
8212072,Volantes Bádminton Perfly Outdoor x3,PERFLY,"Este volante es muy útil para los partidos de bádminton al aire libre. Muy resistente, ofrece todo el confort de un volante básico de plástico. Cada color corresponde a un peso.",Volante de plástico,Badminton outdoor,4.4,4.99,4.99
8220326,Mesa ping pong interior tablero 22 mm Joola Club world cup,JOOLA,"Esta mesa de ping-pong Joola está prevista para los entrenamientos en club.
Se compone de tableros plegables independientes, montados sobre estructura con ruedas. ",Mesa,MESAS TDM INTERIOR,4.5,649.99,649.99
8228709,OVERGRIP DE TENIS HEAD PRO GRIP AZUL,HEAD,"El Pro grip cuenta con una superficie fina, especialmente rugosa, con microporos. Absorción ideal de la sudoración para ofrecer una sensación seca y cómoda.",EMPUÑADURA,ACCESORIOS RAQUETA TENIS,4.6,7.99,7.99
8229812,REVESTIMIENTO PALA DE PING PONG CALIBRA LT SOUND ,STIGA,El revestimiento de ping pong Calibra LT Sound provisto de una espuma blanda está destinado a jugadores ofensivos que buscan muchas sensaciones similares al efecto de cola rápida. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,32.99,39.99
8229812,REVESTIMIENTO PALA DE PING PONG CALIBRA LT SOUND ,STIGA,El revestimiento de ping pong Calibra LT Sound provisto de una espuma blanda está destinado a jugadores ofensivos que buscan muchas sensaciones similares al efecto de cola rápida. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,32.99,39.99
8229812,REVESTIMIENTO PALA DE PING PONG CALIBRA LT SOUND ,STIGA,El revestimiento de ping pong Calibra LT Sound provisto de una espuma blanda está destinado a jugadores ofensivos que buscan muchas sensaciones similares al efecto de cola rápida. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,5.0,32.99,39.99
8230251,ARTENGO SEPARACIÓN,PONGORI,Delimita las zonas de juego fácilmente. Nuestra separación gris antracita dispone de un pie central para evitar que se hunda.,Separaciones,MESAS/ACCESORIOS TDM CLUB,4.0,14.99,20.99
8235138,Pelota para Pelota Vasca Euskalduna Niños Blanca,EUSKALDUNA,ideal para que los niños hagan manos,PELOTAS,PEDIDO DIRECTO OTROS PELOTA,0.0,9.49,9.49
8237067,GORRO ARTENGO THERMIC MULTIFUNCIÓN,ARTENGO,El gorro de deporte Artengo con múltiples funciones se adapta a tus necesidades. Lo puedes llevar como gorro y también como braga de cuello. Su tejido cálido te protegerá del frío durante el invierno.,GORROS,ACCESORIOS JUGADOR DEPORTE DE RAQUETA,4.8,4.99,4.99
8237780,Casco Ikus Mod. Fronton,NO BRAND,Alta absorción a los golpes.,CASCOS,PEDIDO DIRECTO OTROS PELOTA,0.0,34.95,34.95
8237780,Casco Ikus Mod. Fronton,NO BRAND,Alta absorción a los golpes.,CASCOS,PEDIDO DIRECTO OTROS PELOTA,0.0,34.95,34.95
