,product_bought,Review-AverageRating,DisplayPrice-Amount,ListPrice-Amount,age_sender,diff_age,ratio_recommender,ratio_costumer
581,1,4.7,3.99,5.99,28,7,0.40540540540540543,0.7575757575757576
2454,1,5.0,89.99,89.99,18,17,0.4324324324324324,0.7575757575757576
1757,0,4.3,19.99,19.99,27,2,0.45945945945945954,0.6111111111111112
3405,1,4.8,14.99,14.99,27,2,0.2702702702702703,0.6111111111111112
3235,1,4.6,9.99,9.99,36,7,0.24324324324324328,0.6111111111111112
431,0,3.6,12.99,12.99,32,3,0.35135135135135137,0.6111111111111112
2695,0,4.7,64.99,64.99,33,4,0.32432432432432434,0.6111111111111112
6857,1,4.5,19.99,19.99,19,10,0.3783783783783784,0.6111111111111112
1720,0,4.8,8.99,8.99,35,6,0.2702702702702703,0.6111111111111112
4144,1,4.1,44.99,44.99,42,13,0.3513513513513513,0.6111111111111112
1503,1,3.8,29.99,29.99,42,13,0.3513513513513513,0.6111111111111112
5695,1,4.3,29.99,29.99,21,8,0.3783783783783784,0.6111111111111112
325,0,4.0,24.99,34.99,35,6,0.5405405405405406,0.6111111111111112
1725,0,4.6,24.99,24.99,23,6,0.2972972972972973,0.6111111111111112
3325,1,4.9,11.99,11.99,25,4,0.5675675675675677,0.6111111111111112
1907,0,4.6,39.99,54.99,35,6,0.24324324324324323,0.6111111111111112
6702,1,4.3,39.99,39.99,27,2,0.3513513513513513,0.6111111111111112
917,1,4.6,39.99,54.99,21,8,0.4054054054054054,0.6111111111111112
1630,0,5.0,26.99,29.99,22,7,0.32432432432432434,0.6111111111111112
4700,0,0.0,5.99,5.99,19,10,0.4594594594594595,0.6111111111111112
6068,0,4.5,9.99,9.99,37,8,0.24324324324324326,0.6111111111111112
4384,1,4.0,12.49,12.49,39,10,0.24324324324324326,0.6111111111111112
4687,1,4.7,89.99,89.99,19,10,0.35135135135135137,0.6111111111111112
1302,1,5.0,2.99,2.99,32,3,0.40540540540540543,0.6111111111111112
3836,0,4.2,7.99,7.99,32,3,0.40540540540540543,0.6111111111111112
6134,1,4.4,39.99,39.99,28,1,0.45945945945945954,0.6111111111111112
4911,1,4.9,19.99,19.99,24,5,0.2702702702702703,0.6111111111111112
3475,0,4.5,69.99,69.99,34,5,0.24324324324324326,0.6111111111111112
5371,0,0.0,46.99,46.99,41,12,0.4594594594594595,0.6111111111111112
5757,1,4.5,7.99,7.99,37,8,0.4594594594594595,0.6111111111111112
1678,0,4.0,24.99,34.99,37,8,0.4594594594594595,0.6111111111111112
5795,1,4.6,24.99,24.99,31,2,0.1891891891891892,0.6111111111111112
5865,1,4.2,24.99,24.99,30,1,0.3513513513513513,0.6111111111111112
2028,1,4.9,89.99,89.99,25,4,0.5675675675675677,0.6111111111111112
1220,1,5.0,16.99,17.99,41,12,0.43243243243243246,0.6111111111111112
5195,1,0.0,12.99,12.99,20,9,0.43243243243243246,0.6111111111111112
4852,1,4.0,24.99,34.99,44,15,0.45945945945945954,0.6111111111111112
4451,1,0.0,169.99,169.99,37,8,0.5135135135135136,0.6111111111111112
1497,0,5.0,8.99,8.99,41,16,0.7027027027027027,0.72
4812,0,4.4,14.99,14.99,30,5,0.2162162162162162,0.72
2349,1,4.5,31.99,31.99,35,10,0.32432432432432434,0.72
6615,1,5.0,74.99,74.99,20,5,0.3783783783783784,0.72
2757,1,4.7,4.49,4.49,21,4,0.5405405405405405,0.72
3289,1,4.5,64.99,64.99,29,4,0.4864864864864865,0.72
5175,1,4.5,64.99,64.99,26,1,0.4594594594594595,0.72
5135,0,0.0,11.99,11.99,35,10,0.5405405405405406,0.72
3643,0,0.0,34.99,34.99,29,4,0.48648648648648646,0.72
574,1,0.0,54.99,54.99,26,1,0.43243243243243246,0.72
5857,1,3.2,6.99,6.99,32,7,0.5405405405405406,0.72
2430,1,4.6,699.99,699.99,26,1,0.37837837837837834,0.72
4684,1,3.8,39.99,44.99,17,8,0.4324324324324324,0.72
5768,1,4.6,4.99,4.99,34,9,0.35135135135135137,0.72
2526,1,4.6,6.99,6.99,42,17,0.4324324324324324,0.72
3063,1,4.5,9.99,9.99,38,13,0.4054054054054054,0.72
763,1,4.3,12.99,12.99,42,17,0.5945945945945946,0.72
5966,1,5.0,44.99,44.99,17,8,0.5135135135135135,0.72
4021,1,4.0,109.99,109.99,29,4,0.32432432432432434,0.72
3819,1,4.3,9.99,9.99,40,15,0.45945945945945943,0.72
1246,1,5.0,63.99,63.99,19,6,0.4864864864864865,0.72
6150,0,4.25,12.99,14.99,26,1,0.4054054054054054,0.72
5065,0,0.0,24.99,24.99,18,7,0.2702702702702703,0.72
386,0,4.5,29.99,29.99,19,6,0.40540540540540543,0.72
6139,1,4.1,17.99,17.99,25,0,0.37837837837837834,0.72
721,1,4.6,14.99,14.99,43,6,0.35135135135135137,0.6666666666666666
955,0,4.0,29.99,29.99,35,2,0.21621621621621623,0.6666666666666666
5994,1,4.4,34.99,34.99,22,15,0.32432432432432434,0.6666666666666666
5361,0,0.0,4.99,4.99,29,8,0.43243243243243246,0.6666666666666666
1367,1,4.6,31.99,31.99,31,6,0.35135135135135137,0.6666666666666666
6851,1,4.5,6.99,6.99,45,8,0.4324324324324324,0.6666666666666666
2966,1,4.7,3.99,3.99,18,19,0.29729729729729726,0.6666666666666666
1519,0,0.0,66.99,66.99,45,8,0.3513513513513513,0.6666666666666666
1729,1,4.4,64.99,64.99,45,8,0.37837837837837834,0.6666666666666666
5395,0,4.4,45.99,45.99,37,0,0.2162162162162162,0.6666666666666666
5826,1,5.0,8.99,8.99,27,10,0.2972972972972973,0.6666666666666666
2831,1,4.7,69.99,69.99,39,2,0.43243243243243246,0.6666666666666666
3365,0,0.0,84.99,84.99,24,13,0.3513513513513513,0.6666666666666666
5805,1,4.3,69.99,69.99,45,8,0.4054054054054054,0.6666666666666666
5058,1,4.0,29.99,29.99,38,1,0.43243243243243246,0.6666666666666666
6853,1,4.7,64.99,64.99,21,16,0.3513513513513513,0.6666666666666666
4073,0,0.0,59.99,59.99,44,7,0.45945945945945954,0.6666666666666666
6985,1,4.8,14.99,14.99,33,4,0.45945945945945954,0.6666666666666666
5203,1,3.0,69.99,69.99,37,0,0.5135135135135135,0.6666666666666666
1447,0,4.4,64.99,64.99,39,2,0.3783783783783784,0.6666666666666666
1425,1,3.0,26.99,29.99,24,13,0.6216216216216217,0.6666666666666666
4625,0,5.0,11.99,11.99,35,4,0.40540540540540543,0.4838709677419355
1024,1,0.0,49.99,49.99,28,11,0.35135135135135137,0.4838709677419355
6246,0,4.5,4.99,4.99,19,20,0.4864864864864865,0.4838709677419355
1186,0,4.3,14.99,14.99,20,19,0.43243243243243246,0.4838709677419355
1082,1,3.0,22.99,22.99,23,16,0.37837837837837834,0.4838709677419355
3045,0,4.1,69.99,69.99,20,19,0.43243243243243246,0.4838709677419355
1771,0,4.1,44.99,44.99,22,17,0.5135135135135135,0.4838709677419355
6896,0,0.0,126.99,126.99,36,3,0.3513513513513513,0.4838709677419355
4114,1,4.7,3.99,3.99,30,9,0.3513513513513513,0.4838709677419355
5792,0,4.6,4.99,4.99,37,2,0.4594594594594595,0.4838709677419355
939,1,4.6,11.99,11.99,26,13,0.43243243243243246,0.4838709677419355
2654,1,4.7,89.99,89.99,18,21,0.5675675675675677,0.4838709677419355
5489,1,4.5,19.99,19.99,31,8,0.1891891891891892,0.4838709677419355
669,0,0.0,0.99,0.99,26,13,0.32432432432432434,0.4838709677419355
2197,1,4.2,19.99,19.99,30,9,0.48648648648648646,0.4838709677419355
6745,1,4.3,14.99,14.99,17,22,0.4324324324324324,0.4838709677419355
1765,0,4.7,89.99,89.99,34,5,0.24324324324324326,0.4838709677419355
2773,0,3.7,82.99,82.99,39,0,0.32432432432432434,0.4838709677419355
3779,1,4.6,9.99,9.99,29,10,0.45945945945945954,0.4838709677419355
4725,0,3.8,39.99,44.99,27,12,0.5405405405405406,0.4838709677419355
4148,1,3.8,29.99,29.99,20,19,0.5135135135135136,0.4838709677419355
967,1,4.5,11.99,15.99,29,10,0.45945945945945954,0.4838709677419355
5313,0,4.9,89.99,89.99,27,12,0.5405405405405406,0.4838709677419355
3559,0,4.5,59.99,59.99,45,6,0.5135135135135135,0.4838709677419355
104,1,5.0,124.99,124.99,41,2,0.7027027027027027,0.4838709677419355
5410,0,4.7,7.99,7.99,42,3,0.5945945945945946,0.4838709677419355
5558,0,4.6,229.99,229.99,16,23,0.45945945945945943,0.4838709677419355
4225,0,0.0,21.99,21.99,33,6,0.2702702702702703,0.4838709677419355
688,1,4.6,29.99,29.99,22,17,0.5135135135135135,0.4838709677419355
1577,1,4.4,59.99,59.99,30,9,0.40540540540540543,0.4838709677419355
1936,1,4.6,9.99,9.99,17,22,0.4054054054054054,0.4838709677419355
1667,0,4.8,14.99,14.99,29,14,0.4054054054054054,0.625
2009,1,4.8,18.99,18.99,22,21,0.4864864864864865,0.625
1209,1,4.8,9.99,9.99,43,0,0.40540540540540543,0.625
639,0,0.0,4.99,4.99,28,15,0.3243243243243243,0.625
951,0,4.6,17.99,17.99,25,18,0.5405405405405406,0.625
1657,1,4.4,49.99,49.99,27,16,0.35135135135135137,0.625
4227,1,4.7,3.49,3.49,30,13,0.5405405405405406,0.625
2313,0,0.0,12.99,12.99,16,27,0.45945945945945943,0.625
115,1,0.0,169.99,169.99,30,13,0.5945945945945946,0.625
3397,1,4.3,39.99,54.99,29,14,0.4594594594594595,0.625
4303,1,4.3,39.99,39.99,28,15,0.21621621621621623,0.625
5081,1,4.7,3.99,3.99,44,1,0.5405405405405406,0.625
3209,0,0.0,59.99,59.99,29,14,0.5135135135135136,0.625
6521,1,4.5,19.99,19.99,31,12,0.35135135135135137,0.625
3099,1,4.5,12.99,12.99,37,6,0.4594594594594595,0.625
5108,0,4.7,3.99,3.99,23,20,0.4054054054054054,0.625
6456,1,4.6,6.99,6.99,31,5,0.45945945945945943,0.6428571428571429
437,0,4.6,9.99,9.99,39,13,0.24324324324324326,0.6428571428571429
1066,1,4.8,9.99,19.99,18,8,0.37837837837837834,0.6428571428571429
1370,0,4.6,9.99,9.99,33,7,0.2702702702702703,0.6428571428571429
620,1,4.3,14.99,14.99,39,13,0.24324324324324326,0.6428571428571429
1463,1,3.8,19.99,19.99,26,0,0.32432432432432434,0.6428571428571429
2510,0,4.4,5.99,6.99,27,1,0.5135135135135135,0.6428571428571429
5347,1,4.6,11.99,17.99,29,3,0.35135135135135137,0.6428571428571429
551,1,4.6,9.99,17.99,40,14,0.40540540540540543,0.6428571428571429
2930,0,4.9,18.99,18.99,39,13,0.35135135135135137,0.6428571428571429
5572,1,0.0,54.99,54.99,20,6,0.4324324324324324,0.6428571428571429
101,0,0.0,12.99,14.99,26,0,0.43243243243243246,0.6428571428571429
4890,1,4.5,24.99,24.99,18,8,0.4594594594594595,0.6428571428571429
1889,1,4.8,6.0,9.99,42,16,0.5405405405405406,0.6428571428571429
1079,0,4.5,16.99,19.99,36,9,0.40540540540540543,0.7058823529411765
5529,1,4.4,12.99,12.99,33,12,0.32432432432432434,0.7058823529411765
5929,1,5.0,24.99,24.99,22,23,0.32432432432432434,0.7058823529411765
902,1,4.5,9.99,9.99,28,17,0.21621621621621623,0.7058823529411765
4621,1,4.6,14.99,14.99,28,17,0.45945945945945954,0.7058823529411765
510,1,4.5,19.99,19.99,22,23,0.40540540540540543,0.7058823529411765
2965,0,5.0,17.99,17.99,32,13,0.35135135135135137,0.7058823529411765
2333,0,4.3,49.99,64.99,29,16,0.2972972972972973,0.7058823529411765
1177,1,4.7,7.99,7.99,27,18,0.3513513513513513,0.7058823529411765
6805,1,4.5,19.99,22.99,25,20,0.4864864864864865,0.7058823529411765
6479,1,4.4,64.99,64.99,20,25,0.43243243243243246,0.7058823529411765
5591,1,5.0,49.99,49.99,26,19,0.4054054054054054,0.7058823529411765
3891,1,4.3,39.99,54.99,29,16,0.3513513513513513,0.7058823529411765
1804,0,0.0,49.99,69.99,20,25,0.45945945945945954,0.7058823529411765
1017,0,0.0,69.99,69.99,26,19,0.2702702702702703,0.7058823529411765
5936,1,4.7,19.99,19.99,45,0,0.3783783783783784,0.7058823529411765
632,1,4.7,14.99,14.99,30,15,0.5405405405405406,0.7058823529411765
4572,1,4.4,29.99,29.99,17,24,0.4324324324324324,0.6086956521739131
3923,1,4.3,54.99,54.99,29,12,0.5675675675675675,0.6086956521739131
5399,1,4.3,14.99,14.99,17,24,0.4054054054054054,0.6086956521739131
3163,1,4.5,39.99,39.99,27,14,0.35135135135135137,0.6086956521739131
3321,0,4.5,294.99,294.99,32,9,0.40540540540540543,0.6086956521739131
3962,0,0.0,17.99,17.99,28,13,0.3243243243243243,0.6086956521739131
2274,1,4.5,2.99,2.99,29,12,0.3513513513513513,0.6086956521739131
3333,0,4.5,9.99,9.99,36,5,0.3513513513513513,0.6086956521739131
3714,1,4.5,7.99,7.99,23,18,0.5405405405405406,0.6086956521739131
4957,0,5.0,0.99,1.99,29,12,0.2972972972972973,0.6086956521739131
1549,0,4.9,37.99,37.99,25,16,0.37837837837837834,0.6086956521739131
151,1,4.6,24.99,24.99,35,6,0.21621621621621623,0.6086956521739131
1979,1,5.0,16.99,17.99,35,6,0.3783783783783784,0.6086956521739131
5856,0,3.8,39.99,44.99,42,1,0.40540540540540543,0.6086956521739131
2011,1,4.5,29.99,29.99,25,16,0.4864864864864865,0.6086956521739131
1761,0,4.7,3.99,3.99,24,17,0.6216216216216217,0.6086956521739131
646,1,0.0,46.99,46.99,18,23,0.5675675675675677,0.6086956521739131
3773,1,4.0,17.99,17.99,29,12,0.4054054054054054,0.6086956521739131
4589,1,4.5,59.99,79.99,17,24,0.35135135135135137,0.6086956521739131
4006,0,4.8,14.99,14.99,28,13,0.21621621621621623,0.6086956521739131
4438,0,4.2,19.99,19.99,37,4,0.4594594594594595,0.6086956521739131
6293,1,4.3,12.99,12.99,30,11,0.35135135135135137,0.6086956521739131
1254,1,4.6,9.99,9.99,39,2,0.32432432432432434,0.6086956521739131
1237,1,4.7,3.99,5.99,42,2,0.5945945945945946,0.6666666666666666
1934,1,4.7,3.99,3.99,17,23,0.29729729729729726,0.6666666666666666
5851,0,4.5,49.99,49.99,19,21,0.4594594594594595,0.6666666666666666
927,1,4.5,9.99,17.99,31,9,0.2162162162162162,0.6666666666666666
3907,1,4.8,9.99,9.99,45,5,0.37837837837837834,0.6666666666666666
2005,1,0.0,49.99,49.99,16,24,0.4864864864864865,0.6666666666666666
160,0,4.6,9.99,9.99,28,12,0.29729729729729726,0.6666666666666666
6473,0,4.7,24.99,24.99,22,18,0.4864864864864865,0.6666666666666666
1372,0,4.4,12.99,12.99,24,16,0.4594594594594595,0.6666666666666666
6764,0,5.0,10.99,10.99,45,5,0.29729729729729726,0.6666666666666666
1415,1,4.3,69.99,69.99,20,20,0.3783783783783784,0.6666666666666666
1281,0,4.5,16.99,27.99,28,12,0.24324324324324323,0.6666666666666666
5045,1,4.7,14.99,14.99,34,6,0.4594594594594595,0.6666666666666666
753,1,4.7,3.49,3.49,34,6,0.2972972972972973,0.6666666666666666
1660,1,4.5,12.99,17.99,18,22,0.37837837837837834,0.6666666666666666
2493,1,5.0,119.99,119.99,28,12,0.24324324324324328,0.6666666666666666
2796,1,3.8,69.99,69.99,28,12,0.40540540540540543,0.6666666666666666
6362,1,4.3,34.99,34.99,30,10,0.45945945945945954,0.6666666666666666
4892,0,4.4,64.99,64.99,32,8,0.35135135135135137,0.6666666666666666
3376,0,4.9,74.99,74.99,38,2,0.29729729729729726,0.6666666666666666
4029,1,4.5,12.99,12.99,27,13,0.32432432432432434,0.6666666666666666
1955,1,0.0,114.99,114.99,21,19,0.2972972972972973,0.6666666666666666
897,1,4.5,99.99,99.99,37,3,0.4864864864864865,0.6666666666666666
5820,1,5.0,39.99,39.99,37,3,0.40540540540540543,0.6666666666666666
5392,1,4.1,19.99,24.99,29,10,0.43243243243243246,0.5833333333333334
3813,0,4.1,34.99,49.99,34,15,0.35135135135135137,0.5833333333333334
1587,1,4.6,24.99,24.99,39,20,0.35135135135135137,0.5833333333333334
4802,1,4.5,69.99,69.99,45,26,0.4324324324324324,0.5833333333333334
4224,1,5.0,17.99,17.99,35,16,0.5135135135135136,0.5833333333333334
2787,1,5.0,949.99,949.99,38,19,0.4054054054054054,0.5833333333333334
425,0,4.5,24.99,24.99,30,11,0.2162162162162162,0.5833333333333334
4439,0,3.6,13.99,13.99,24,5,0.40540540540540543,0.5833333333333334
4117,1,4.5,64.99,64.99,38,19,0.32432432432432434,0.5833333333333334
2941,1,4.0,29.99,29.99,37,18,0.40540540540540543,0.5833333333333334
4560,0,4.6,16.99,16.99,18,1,0.37837837837837834,0.5833333333333334
4834,0,4.3,19.99,19.99,26,7,0.37837837837837834,0.5833333333333334
3229,0,0.0,54.99,54.99,27,8,0.24324324324324323,0.5833333333333334
5391,1,4.5,13.99,13.99,34,15,0.35135135135135137,0.5833333333333334
6913,1,4.8,19.99,19.99,42,23,0.5405405405405406,0.5833333333333334
1642,0,4.6,11.99,17.99,36,17,0.3783783783783784,0.5833333333333334
5327,1,5.0,24.99,24.99,24,5,0.6216216216216217,0.5833333333333334
4997,0,4.6,69.99,69.99,23,4,0.48648648648648646,0.5833333333333334
424,1,4.5,29.99,43.99,45,26,0.29729729729729726,0.5833333333333334
6451,1,4.86,89.99,89.99,17,2,0.4054054054054054,0.5833333333333334
2400,1,4.6,3.99,3.99,41,22,0.43243243243243246,0.5833333333333334
1612,0,4.6,24.99,24.99,40,21,0.2162162162162162,0.5833333333333334
6672,1,3.8,69.99,69.99,22,3,0.4864864864864865,0.5833333333333334
618,0,4.4,29.99,29.99,17,2,0.48648648648648646,0.5833333333333334
2162,1,4.7,8.99,8.99,29,9,0.40540540540540543,0.7894736842105263
6577,1,3.8,69.99,69.99,29,9,0.4864864864864865,0.7894736842105263
1167,1,4.6,19.99,27.99,20,18,0.43243243243243246,0.7894736842105263
5280,1,4.6,5.99,5.99,23,15,0.5405405405405406,0.7894736842105263
1801,1,4.6,45.99,64.99,22,16,0.5135135135135135,0.7894736842105263
2992,0,4.5,7.99,7.99,22,16,0.4864864864864865,0.7894736842105263
341,1,4.4,64.99,64.99,28,10,0.24324324324324323,0.7894736842105263
4564,0,4.6,12.99,12.99,17,21,0.5405405405405406,0.7894736842105263
6559,1,4.86,89.99,89.99,27,11,0.48648648648648646,0.7894736842105263
165,0,4.6,69.99,69.99,32,6,0.5405405405405406,0.7894736842105263
4313,1,5.0,15.99,15.99,19,19,0.40540540540540543,0.7894736842105263
6517,1,4.8,14.99,14.99,31,7,0.35135135135135137,0.7894736842105263
5965,1,4.5,12.99,12.99,28,10,0.35135135135135137,0.7894736842105263
5247,1,3.6,12.99,12.99,24,14,0.5135135135135135,0.7894736842105263
4309,1,5.0,9.99,26.99,28,10,0.24324324324324328,0.7894736842105263
1866,1,4.8,9.99,9.99,26,12,0.35135135135135137,0.7894736842105263
51,1,4.6,29.99,29.99,26,12,0.4054054054054054,0.7894736842105263
6319,1,4.3,27.99,27.99,44,6,0.32432432432432434,0.7894736842105263
3357,0,4.0,29.99,29.99,24,14,0.3513513513513513,0.7894736842105263
3841,0,4.7,14.99,14.99,21,20,0.3513513513513513,0.47619047619047616
4539,1,4.7,2.99,2.99,31,10,0.43243243243243246,0.47619047619047616
2547,1,4.5,34.99,34.99,26,15,0.43243243243243246,0.47619047619047616
4016,1,4.5,4.99,4.99,37,4,0.5135135135135135,0.47619047619047616
6398,0,4.8,19.99,19.99,25,16,0.5405405405405406,0.47619047619047616
1870,1,4.4,6.99,9.99,34,7,0.5135135135135135,0.47619047619047616
1813,1,4.4,12.99,12.99,32,9,0.35135135135135137,0.47619047619047616
1945,0,4.0,119.99,119.99,32,9,0.2702702702702703,0.47619047619047616
843,0,4.3,34.99,34.99,43,2,0.35135135135135137,0.47619047619047616
4391,1,4.5,2.29,2.29,25,16,0.5405405405405406,0.47619047619047616
4377,1,4.7,3.99,3.99,18,23,0.4324324324324324,0.47619047619047616
4593,1,4.0,24.99,24.99,20,21,0.37837837837837834,0.47619047619047616
5732,0,4.5,174.99,174.99,31,10,0.43243243243243246,0.47619047619047616
5499,0,4.2,39.99,49.99,27,14,0.5405405405405406,0.47619047619047616
4653,1,4.5,19.99,19.99,17,24,0.35135135135135137,0.47619047619047616
4355,0,0.0,24.99,24.99,45,4,0.29729729729729726,0.47619047619047616
4082,0,0.0,65.99,65.99,21,20,0.3783783783783784,0.47619047619047616
3182,0,4.4,8.99,8.99,27,14,0.45945945945945943,0.47619047619047616
6620,1,4.0,29.99,29.99,21,20,0.3783783783783784,0.47619047619047616
2734,0,4.7,19.99,19.99,16,25,0.5135135135135136,0.47619047619047616
4576,0,3.8,29.99,29.99,30,11,0.40540540540540543,0.47619047619047616
6734,1,4.2,109.99,109.99,29,0,0.3513513513513513,0.6842105263157895
6590,1,4.7,59.99,98.99,42,13,0.4324324324324324,0.6842105263157895
4888,1,4.6,21.99,21.99,29,0,0.4054054054054054,0.6842105263157895
649,1,4.4,39.99,39.99,28,1,0.5405405405405406,0.6842105263157895
428,1,4.2,51.99,51.99,33,4,0.45945945945945954,0.6842105263157895
3113,1,4.3,27.99,27.99,37,8,0.40540540540540543,0.6842105263157895
3855,1,5.0,2.99,2.99,28,1,0.40540540540540543,0.6842105263157895
2702,1,4.8,14.99,14.99,29,0,0.2972972972972973,0.6842105263157895
1913,1,3.2,29.99,29.99,42,13,0.32432432432432434,0.6842105263157895
6276,1,4.5,34.99,59.99,20,9,0.3783783783783784,0.6842105263157895
403,0,4.0,119.99,119.99,17,12,0.5675675675675677,0.6842105263157895
3138,1,5.0,84.99,84.99,35,6,0.3783783783783784,0.6842105263157895
1309,0,4.5,17.99,17.99,29,0,0.48648648648648646,0.6842105263157895
5317,0,4.4,21.99,24.99,37,8,0.4594594594594595,0.6842105263157895
